"","date","close_prev"
"291",2012-06-12,18.97
"292",2012-06-13,19.03
"293",2012-06-14,20.21
"294",2012-06-15,20.02
"295",2012-06-18,20.12
"296",2012-06-19,21
"297",2012-06-20,20.71
"298",2012-06-21,21.02
"299",2012-06-25,20.62
"300",2012-06-26,19.92
"301",2012-06-27,20.36
"302",2012-06-28,20.42
"303",2012-06-29,21.12
"304",2012-07-02,22.44
"305",2012-07-03,22.87
"306",2012-07-04,25.16
"307",2012-07-05,27.68
"308",2012-07-06,28.9
"309",2012-07-09,29.6
"310",2012-07-10,32.56
"311",2012-07-11,31.17
"312",2012-07-12,31.1
"313",2012-07-13,30.77
"314",2012-07-16,31.3
"315",2012-07-17,30.55
"316",2012-07-18,32.2
"317",2012-07-19,34.2
"318",2012-07-20,33.57
"319",2012-07-23,30.21
"320",2012-07-24,29.38
"321",2012-07-25,29.41
"322",2012-07-26,30.35
"323",2012-07-27,28.99
"324",2012-07-30,29.36
"325",2012-07-31,29.9
"326",2012-08-01,28.75
"327",2012-08-02,30.4
"328",2012-08-03,33.44
"329",2012-08-06,36.78
"330",2012-08-07,37.5
"331",2012-08-08,37.81
"332",2012-08-09,37.41
"333",2012-08-10,37.6
"334",2012-08-13,36.8
"335",2012-08-14,37.21
"336",2012-08-15,36.08
"337",2012-08-16,34.62
"338",2012-08-17,35.05
"339",2012-08-20,37.8
"340",2012-08-21,36.9
"341",2012-08-22,38.59
"342",2012-08-23,38.16
"343",2012-08-24,37.73
"344",2012-08-27,36.72
"345",2012-08-28,37.28
"346",2012-08-29,37.3
"347",2012-08-30,38.21
"348",2012-08-31,34.39
"349",2012-09-03,34.4
"350",2012-09-04,35.83
"351",2012-09-05,36
"352",2012-09-06,37.4
"353",2012-09-07,37.39
"354",2012-09-10,39.63
"355",2012-09-11,39.6
"356",2012-09-12,39.08
"357",2012-09-13,38.6
"358",2012-09-14,37.88
"359",2012-09-17,36.86
"360",2012-09-18,35.73
"361",2012-09-19,37.11
"362",2012-09-20,35.9
"363",2012-09-21,34
"364",2012-09-24,34.77
"365",2012-09-25,34.06
"366",2012-09-26,32.85
"367",2012-09-27,15.28
"368",2012-09-28,16.81
"369",2012-10-08,17.04
"370",2012-10-09,18.07
"371",2012-10-10,18.29
"372",2012-10-11,18.26
"373",2012-10-12,17.7
"374",2012-10-15,18.71
"375",2012-10-16,18.73
"376",2012-10-17,18.5
"377",2012-10-18,18.25
"378",2012-10-19,17.98
"379",2012-10-22,17.95
"380",2012-10-23,17.89
"381",2012-10-24,17.54
"382",2012-10-25,16.88
"383",2012-10-26,16.27
"384",2012-10-29,15.91
"385",2012-10-30,16.74
"386",2012-10-31,16.74
"387",2012-11-01,15.76
"388",2012-11-02,15.94
"389",2012-11-05,16.21
"390",2012-11-06,15.63
"391",2012-11-07,15.6
"392",2012-11-08,15.72
"393",2012-11-09,14.92
"394",2012-11-12,14.61
"395",2012-11-13,14.8
"396",2012-11-14,13.98
"397",2012-11-15,13.99
"398",2012-11-16,13.48
"399",2012-11-19,13.59
"400",2012-11-20,13.41
"401",2012-11-21,13.42
"402",2012-11-22,13.88
"403",2012-11-23,13.44
"404",2012-11-26,13.54
"405",2012-11-27,12.93
"406",2012-11-28,12.71
"407",2012-11-29,12.27
"408",2012-11-30,11.7
"409",2012-12-03,12.04
"410",2012-12-04,11.27
"411",2012-12-05,11.7
"412",2012-12-06,12.23
"413",2012-12-07,12.05
"414",2012-12-10,12.8
"415",2012-12-11,12.94
"416",2012-12-12,13.48
"417",2012-12-13,13.59
"418",2012-12-14,13.64
"419",2012-12-17,14.14
"420",2012-12-18,14.04
"421",2012-12-19,13.69
"422",2012-12-20,13.89
"423",2012-12-21,13.74
"424",2012-12-24,13.89
"425",2012-12-25,14.12
"426",2012-12-26,14.22
"427",2012-12-27,14.75
"428",2012-12-28,15.9
"429",2012-12-31,15.66
"430",2013-01-04,15.94
"431",2013-01-07,15.71
"432",2013-01-08,15.68
"433",2013-01-09,16.12
"434",2013-01-10,15.95
"435",2013-01-11,15.92
"436",2013-01-14,15.15
"437",2013-01-15,15.55
"438",2013-01-16,16.2
"439",2013-01-17,15.94
"440",2013-01-18,17.53
"441",2013-01-21,17.4
"442",2013-01-22,17.06
"443",2013-01-23,17.43
"444",2013-01-24,17.27
"445",2013-01-25,16.59
"446",2013-01-28,16.75
"447",2013-01-29,17.28
"448",2013-01-30,17.34
"449",2013-01-31,17.43
