date,close_prev,摊薄每股收益.元.,加权每股收益.元.,每股收益_调整后.元.,每股净资产_调整前.元.,每股净资产_调整后.元.,每股经营性现金流.元.,每股资本公积金.元.,每股未分配利润.元.,总资产利润率...,主营业务利润率...,总资产净利润率...,成本费用利润率...,营业利润率...,主营业务成本率...,销售净利率...,股本报酬率...,净资产报酬率...,资产报酬率...,三项费用比重,非主营比重,主营利润比重,主营业务利润.元.,净资产收益率...,加权净资产收益率...,主营业务收入增长率...,净利润增长率...,净资产增长率...,总资产增长率...,应收账款周转率.次.,应收账款周转天数.天.,存货周转天数.天.,存货周转率.次.,总资产周转率.次.,总资产周转天数.天.,流动资产周转率.次.,流动资产周转天数.天.,股东权益周转率.次.,流动比率,速动比率,现金比率...,利息支付倍数,股东权益比率...,负债与所有者权益比率...,资本固定化比率...,产权比率...,资产负债率...,总资产.元.,经营现金净流量对销售收入比率...,资产的经营现金流量回报率...,经营现金净流量对负债比率...,现金流量比率...
2018/9/30,12.05,0.2452,0.2,0.2,3.5253,3.5211,0.3142,2.307,0.1685,5.7816,64.1723,5.6998,23.3281,18.2401,31.3823,15.2773,24.5184,6.955,5.7816,45.5631,3.9335,337.981,547639314.4,6.97,7.04,6.1396,-2.5773,8.1411,5.0995,11.1108,24.3007,77.1274,3.5007,0.3731,723.6666,1.0344,261.0209,0.4667,2.3732,2.1424,159.293,-6422.0804,83.1284,20.2958,78.8351,17.4705,16.8716,2254986103,0.1958,0.0741,0.4392,51.0192
2018/12/31,8.65,0.2326,0.2,0.2,3.6172,3.6131,0.6438,2.4115,0.1533,5.101,64.0287,5.2143,16.6459,13.5303,31.318,10.0573,62.6426,17.3179,13.7355,48.6196,3.9106,454.7201,787547698.2,6.44,6.77,4.9547,-32.2706,7.922,4.5421,12.6739,28.4048,71.6503,5.0244,0.5185,694.3105,1.3588,264.9397,0.6638,2.0873,1.9183,143.1872,-4037.9082,79.3135,26.0819,77.3404,23.351,20.6865,2425091650,0.2783,0.1412,0.6824,76.2207
2019/3/31,14.3,0.0817,0.08,0.08,3.7571,3.7531,0.0176,2.3164,0.2387,1.8439,62.7156,1.7961,25.07,19.0251,33.917,14.949,8.1681,2.174,1.8439,38.8952,0.3831,328.3847,178123267.5,2.18,2.19,14.6177,65.3748,2.5951,-3.2971,2.6784,33.6022,67.2797,1.3377,0.1202,748.7521,0.3348,268.8172,0.1465,2.5516,2.3227,157.3175,-5372.098,84.8156,17.9029,79.0275,15.2355,15.1844,2302607864,0.0322,0.004,0.0262,3.0751
2019/6/30,17.85,0.2629,0.26,0.26,3.9383,3.9343,0.3598,2.3164,0.412,5.6192,64.4476,5.6267,39.2588,27.7693,31.1013,21.4981,72.2018,18.3332,15.4352,35.3743,0.2717,231.4518,409598020.4,6.69,6.9,14.3902,73.5809,9.1967,8.3707,6.8459,26.2931,76.8147,2.3433,0.2617,687.8105,0.7131,252.419,0.3201,2.5401,2.2611,164.4883,-7559.6942,84.1927,18.7751,77.4943,16.2517,15.8073,2431498157,0.2943,0.0769,0.4866,56.2165
2019/9/30,21.51,0.4395,0.44,0.44,3.7157,3.7117,0.5762,2.3164,0.1894,10.0474,64.6393,9.7233,41.0092,29.0253,31.0288,22.4776,43.9458,11.827,10.0474,35.5393,0.1725,222.3154,656905034,11.85,11.41,19.0854,75.2112,3.0352,0.823,11.3802,23.7254,69.717,3.8728,0.4326,624.1331,1.2775,211.3503,0.5273,2.2467,1.9479,130.8219,-6772.0424,84.9524,17.713,83.8751,15.0608,15.0476,2273545594,0.2947,0.1317,0.8755,102.9647
2019/12/31,25.92,0.5775,0.58,0.58,3.8538,3.8498,1.0206,2.3164,0.318,11.72,63.3547,12.0406,36.2317,26.6558,31.7316,20.4441,110.5756,28.6927,22.4388,34.9647,-2.7373,244.1832,930325361.1,15.01,15.08,19.3862,142.6823,4.148,5.6257,13.029,27.6307,63.9727,5.6274,0.589,611.2054,1.6812,214.1328,0.7479,1.6369,1.4555,98.6267,-6884.1568,78.2039,27.8708,87.4638,24.6853,21.7961,2561519234,0.3613,0.2071,0.9502,107.2789
2020/3/31,32.89,0.1188,0.12,0.12,3.9725,3.9686,0.1889,2.3164,0.4368,2.2789,61.9054,2.3425,31.2915,23.3036,32.7517,18.2456,11.8751,2.9893,2.2789,36.4927,0.1536,265.2395,209434053.6,2.99,3.04,19.117,45.3846,5.7331,17.6358,3.4861,25.8168,79.3301,1.1345,0.1284,700.9346,0.3841,234.314,0.1663,1.6414,1.4593,111.9117,-5654.008,76.2337,31.1756,85.0576,28.0973,23.7663,2708691810,0.2902,0.0362,0.1525,16.9233
2020/6/30,42.8,0.4078,0.41,0.41,4.2615,4.2576,0.5309,2.3164,0.6474,7.3858,63.3232,7.8049,52.0482,34.6694,30.8723,26.8875,101.6904,23.8623,18.4194,30.0171,0.1255,182.4195,499172447.7,9.58,10.06,24.0328,55.1265,8.2074,18.0236,8.5767,20.9871,82.203,2.1897,0.2903,620.0482,0.8315,216.4762,0.3737,1.8378,1.6136,128.7643,-8466.939,77.1903,29.55,80.4951,26.6917,22.8097,2869741631,0.3501,0.0962,0.4216,46.6759
2020/9/30,62.92,0.7371,0.74,0.74,3.9921,3.9881,1.0163,2.3164,0.378,14.0295,63.6583,14.4788,54.4513,36.4839,30.7506,28.9193,73.7101,18.4641,14.0295,30.7498,0.1322,174.2526,843398396,18.48,17.75,30.3682,67.7297,7.4378,20.1213,14.0004,19.2852,74.3413,3.6319,0.5007,539.2451,1.5624,172.8111,0.6497,1.3898,1.1787,89.7535,-12293.2755,75.9823,31.6096,88.8883,30.7388,24.0177,2731013636,0.3987,0.1934,0.8054,82.8223
2020/12/31,101.68,0.9993,1.03,1.03,6.006,6.0022,1.3499,4.0664,0.5804,13.7769,60.3061,16.6084,52.4797,34.8824,34.4963,27.7938,166.4694,27.717,22.9499,27.0459,0.4067,172.1812,1161884137,16.65,23.82,31.2034,78.3717,60.6598,51.7406,17.0809,21.0762,52.796,6.8187,0.5976,602.4096,1.4617,246.2886,0.738,2.8082,2.6464,231.0446,-8458.6785,82.8007,20.7719,64.0102,20.2128,17.1993,3886865772,0.3755,0.1861,1.0821,111.1983
2021/3/31,106.22,0.244,0.24,0.24,6.25,6.2466,0.5491,4.0664,0.8248,3.1125,60.4458,3.2332,49.9385,32.5222,32.6773,25.2789,24.399,3.9038,3.1125,25.6277,0.0881,185.6964,312626769.8,3.91,3.99,52.8768,111.8077,62.1888,55.0774,5.5806,16.1273,72.4754,1.2418,0.1279,703.6747,0.2994,300.6012,0.1575,1.9535,1.7532,153.5229,-1946.872,79.7295,25.424,76.7929,24.8944,20.2705,4200569826,0.5689,0.07,0.3455,35.2898
2021/6/30,86.68,0.4911,0.49,0.49,4.4268,4.4247,0.576,2.6208,0.5499,9.239,61.3908,9.355,63.7913,39.1864,33.0614,30.3888,102.7096,23.2016,19.3218,22.8479,0.0458,156.5919,743902616.1,11.11,10.84,53.7182,73.7354,49.8389,38.8857,11.9196,15.1012,52.0186,3.4603,0.3078,584.7953,0.7542,238.6635,0.3707,2.1369,1.9422,162.3089,-3151.737,83.2778,20.08,78.3125,19.546,16.7222,3985661131,0.3564,0.1084,0.648,66.5685
2021/9/30,69,0.7498,0.75,0.75,4.6855,4.684,0.9186,2.6208,0.8091,13.2211,61.1903,13.8144,59.5511,37.0865,33.4607,29.3632,74.9783,16.0022,13.2211,23.6393,0.2757,164.5386,1171526667,16.03,16.52,44.5079,46.726,69.2996,55.697,16.94,15.9386,53.8063,5.018,0.4705,573.8576,1.1159,241.9572,0.5688,2.2239,2.0159,167.923,-3310.5908,82.6205,21.0353,75.3605,20.5384,17.3795,4252106208,0.3598,0.162,0.9321,95.4603
2021/12/31,62.07,1.0085,1.01,1.01,4.9442,4.9433,1.2612,2.6208,1.0683,17.2032,60.9898,18.2738,55.3109,34.9866,33.86,28.3376,47.247,8.8028,7.1204,24.4307,0.5056,172.4853,1599150718,20.95,22.2,35.2976,19.7166,88.7603,72.5083,21.9604,16.776,55.594,6.5757,0.6332,562.9199,1.4776,245.2509,0.7669,2.3109,2.0896,173.5371,-3469.4446,81.9632,21.9906,72.4085,21.5308,18.0368,4518551285,0.3632,0.2156,1.2162,124.3521
2022/3/31,62.07,0.2471,0.25,0.25,-1.8232,-1.8219,0.0269,-1.4456,-0.2749,6.1265,0.945,6.1218,13.8528,6.6642,0.3841,5.1099,78.3106,19.2978,16.2093,-2.7798,-0.0423,-29.1045,431275846.3,7.2,6.85,0.8414,-38.0723,-12.3499,-16.1917,6.339,-1.0261,-20.4568,2.2185,0.1799,-118.8794,0.4548,-61.9377,0.2132,0.1834,0.189,8.786,-1204.865,3.5483,-5.344,1.5196,-5.3484,-3.5483,-214908695,-0.2125,0.0384,0.3025,31.2787
