date,open,high,low,close,close_prev,change_pct,volume,amount
2017/3/27,3488.7647,3505.9789,3474.5206,3478.0385,3489.5997,-0.3313,107015377,1.24E+11
2017/3/28,3480.249,3482.2923,3461.4678,3469.8093,3478.0385,-0.2366,84194820,97495938765
2017/3/29,3472.9665,3483.0571,3455.5529,3465.1933,3469.8093,-0.133,104851706,1.15E+11
2017/3/30,3461.6159,3467.3049,3422.366,3436.758,3465.1933,-0.8206,116376922,1.22E+11
2017/3/31,3434.8222,3456.3051,3430.8197,3456.0455,3436.758,0.5612,91577491,1.01E+11
2017/4/5,3476.4231,3504.5379,3475.1486,3503.8932,3456.0455,1.3845,143399017,1.61E+11
2017/4/6,3507.9879,3517.7779,3495.7246,3514.0469,3503.8932,0.2898,136767004,1.45E+11
2017/4/7,3514.4521,3526.815,3506.3885,3517.4634,3514.0469,0.0972,140293204,1.45E+11
2017/4/10,3519.4597,3522.7955,3502.0826,3505.1392,3517.4634,-0.3504,141887380,1.56E+11
2017/4/11,3503.8294,3520.1315,3466.139,3517.328,3505.1392,0.3477,165945832,1.89E+11
2017/4/12,3514.5723,3523.0975,3497.9991,3509.4387,3517.328,-0.2243,181824537,2.02E+11
2017/4/13,3500.2838,3518.4385,3496.5699,3514.5662,3509.4387,0.1461,129981813,1.33E+11
2017/4/14,3516.8103,3517.4664,3476.9468,3486.5045,3514.5662,-0.7984,135474078,1.30E+11
2017/4/17,3475.7381,3480.5696,3453.6759,3479.9417,3486.5045,-0.1882,117164961,1.24E+11
2017/4/18,3474.8892,3489.0845,3462.6297,3462.7429,3479.9417,-0.4942,110927823,1.27E+11
2017/4/19,3452.9904,3459.3524,3418.514,3445.8761,3462.7429,-0.4871,121349264,1.27E+11
2017/4/20,3444.5225,3465.6088,3440.7151,3461.5481,3445.8761,0.4548,114184208,1.34E+11
2017/4/21,3461.389,3475.5622,3449.5421,3466.7865,3461.5481,0.1513,104419110,1.15E+11
2017/4/24,3458.2279,3458.2279,3403.9792,3431.2587,3466.7865,-1.0248,114660791,1.23E+11
2017/4/25,3427.7322,3449.6716,3422.6521,3440.9743,3431.2587,0.2831,94072148,1.08E+11
2017/4/26,3440.2526,3466.5651,3439.1505,3445.1832,3440.9743,0.1223,111940029,1.31E+11
2017/4/27,3435.1017,3449.2723,3399.5392,3446.7202,3445.1832,0.0446,123298425,1.35E+11
2017/4/28,3439.5735,3439.904,3417.2375,3439.753,3446.7202,-0.2021,101632351,1.14E+11
2017/5/2,3427.9169,3436.3064,3418.6652,3426.5766,3439.753,-0.3831,92797462,1.02E+11
2017/5/3,3421.7586,3432.2248,3403.0782,3413.1282,3426.5766,-0.3925,91669624,97854119098
2017/5/4,3404.9379,3421.3953,3391.277,3404.3864,3413.1282,-0.2561,103482075,1.07E+11
2017/5/5,3393.4831,3395.4532,3366.5568,3382.5502,3404.3864,-0.6414,109895333,1.17E+11
2017/5/8,3369.1084,3374.1571,3339.5743,3358.8125,3382.5502,-0.7018,123749287,1.27E+11
2017/5/9,3342.5981,3358.0463,3327.5901,3352.5324,3358.8125,-0.187,76771668,85528831749
2017/5/10,3350.6502,3369.4345,3336.003,3337.7007,3352.5324,-0.4424,92082628,1.02E+11
2017/5/11,3322.9455,3359.6003,3312.8921,3356.6459,3337.7007,0.5676,109252890,1.12E+11
2017/5/12,3350.9371,3387.2677,3349.1671,3385.3787,3356.6459,0.856,93386466,97522124594
2017/5/15,3391.5881,3406.581,3391.5881,3399.1937,3385.3787,0.4081,82977611,92183332845
2017/5/16,3390.925,3428.8531,3373.552,3428.6491,3399.1937,0.8665,105242416,1.13E+11
2017/5/17,3423.19,3433.9695,3408.1541,3409.9656,3428.6491,-0.5449,99736837,1.11E+11
2017/5/18,3387.6655,3409.9319,3383.935,3398.1127,3409.9656,-0.3476,85759589,88091166041
2017/5/19,3395.2318,3405.9448,3392.3776,3403.8492,3398.1127,0.1688,71473525,78397081602
2017/5/22,3400.5882,3424.1776,3391.1748,3411.2387,3403.8492,0.2171,92539559,99021121578
2017/5/23,3405.0254,3434.7662,3401.5338,3424.194,3411.2387,0.3798,116911033,1.27E+11
2017/5/24,3409.7169,3424.1669,3383.8922,3424.1669,3424.194,-8.00E-04,83553161,92620045548
2017/5/25,3414.3992,3490.4176,3413.2246,3485.6581,3424.1669,1.7958,130721631,1.37E+11
2017/5/26,3479.6206,3498.3148,3473.04,3480.4345,3485.6581,-0.1499,103241153,1.13E+11
2017/5/31,3495.073,3515.0812,3474.9215,3492.8845,3480.4345,0.3577,104829744,1.16E+11
2017/6/1,3485.2223,3499.8142,3476.4283,3497.7382,3492.8845,0.139,103127724,1.16E+11
2017/6/2,3491.5893,3498.1189,3470.2017,3486.5074,3497.7382,-0.3211,82668010,92850747181
2017/6/5,3480.1692,3484.1244,3462.3144,3468.7538,3486.5074,-0.5092,79738152,85609467477
2017/6/6,3464.3765,3492.8816,3460.4534,3492.8816,3468.7538,0.6956,64089388,77868793730
2017/6/7,3493.8846,3537.0947,3491.1328,3533.8718,3492.8816,1.1735,104419968,1.24E+11
2017/6/8,3531.2419,3562.2724,3528.179,3560.9786,3533.8718,0.7671,90224905,1.12E+11
2017/6/9,3561.2411,3590.8872,3560.6336,3576.1703,3560.9786,0.4266,101188265,1.22E+11
2017/6/12,3570.2191,3603.6901,3565.9012,3574.3894,3576.1703,-0.0498,90381167,1.18E+11
2017/6/13,3569.1594,3584.4094,3559.2134,3582.2674,3574.3894,0.2204,75177138,94223084812
2017/6/14,3571.2483,3571.2483,3530.274,3535.2987,3582.2674,-1.3111,83810783,1.06E+11
2017/6/15,3530.7465,3542.2796,3508.9461,3528.7926,3535.2987,-0.184,82632535,1.06E+11
2017/6/16,3522.9745,3536.1401,3514.3892,3518.7611,3528.7926,-0.2843,76452707,91462286377
2017/6/19,3520.0602,3554.91,3520.0602,3553.6653,3518.7611,0.9919,79797141,98572358252
2017/6/20,3560.7871,3563.6964,3539.5149,3546.494,3553.6653,-0.2018,80509559,98187595478
2017/6/21,3567.1256,3587.9863,3545.5666,3587.955,3546.494,1.1691,87859824,1.17E+11
2017/6/22,3583.5583,3635.5273,3581.3375,3590.3425,3587.955,0.0665,135526987,1.69E+11
2017/6/23,3583.4359,3623.2352,3569.3225,3622.8831,3590.3425,0.9063,105129134,1.34E+11
2017/6/26,3627.0208,3671.9435,3627.0208,3668.0919,3622.8831,1.2479,134637995,1.71E+11
2017/6/27,3665.5775,3676.5328,3648.7635,3674.7152,3668.0919,0.1806,97558702,1.23E+11
2017/6/28,3664.1629,3672.1887,3644.0268,3646.1666,3674.7152,-0.7769,97920858,1.24E+11
2017/6/29,3649.2525,3669.1345,3644.7331,3668.8279,3646.1666,0.6215,85589498,1.12E+11
2017/6/30,3654.7348,3669.7584,3646.2272,3666.7977,3668.8279,-0.0553,81510028,1.02E+11
2017/7/3,3667.2316,3667.5957,3633.7825,3650.8463,3666.7977,-0.435,88820860,1.15E+11
2017/7/4,3646.828,3646.8455,3611.6911,3619.9841,3650.8463,-0.8453,95071413,1.25E+11
2017/7/5,3611.8984,3660.7291,3610.4586,3659.6795,3619.9841,1.0966,88232425,1.20E+11
2017/7/6,3654.5576,3666.7745,3629.56,3660.0967,3659.6795,0.0114,102379245,1.33E+11
2017/7/7,3647.6416,3657.1131,3631.8702,3655.9293,3660.0967,-0.1139,103735497,1.23E+11
2017/7/10,3647.9379,3667.8455,3641.5277,3653.6868,3655.9293,-0.0613,120591910,1.41E+11
2017/7/11,3646.8783,3701.2087,3645.9946,3670.8086,3653.6868,0.4686,118760826,1.45E+11
2017/7/12,3672.6328,3691.5814,3640.5893,3658.8236,3670.8086,-0.3265,122287792,1.43E+11
2017/7/13,3656.3502,3690.4832,3652.5658,3686.9205,3658.8236,0.7679,125669549,1.46E+11
2017/7/14,3682.6153,3703.094,3672.7425,3703.094,3686.9205,0.4387,105514005,1.21E+11
2017/7/17,3700.6179,3716.47,3621.3652,3663.5575,3703.094,-1.0677,178821600,1.96E+11
2017/7/18,3648.4942,3667.5408,3622.0414,3667.1807,3663.5575,0.0989,124622056,1.41E+11
2017/7/19,3660.8665,3731.0468,3658.2035,3729.7466,3667.1807,1.7061,182477787,1.98E+11
2017/7/20,3725.1436,3750.1938,3723.0689,3747.8843,3729.7466,0.4863,142410039,1.69E+11
2017/7/21,3738.1847,3751.6947,3722.0656,3728.5976,3747.8843,-0.5146,117941226,1.41E+11
2017/7/24,3724.3778,3755.1902,3719.8488,3743.4686,3728.5976,0.3988,134868722,1.55E+11
2017/7/25,3742.6405,3752.1559,3713.2766,3719.559,3743.4686,-0.6387,121672059,1.34E+11
2017/7/26,3722.8761,3738.5316,3684.1819,3705.3884,3719.559,-0.381,136325210,1.47E+11
2017/7/27,3700.8558,3716.6888,3672.4971,3712.1947,3705.3884,0.1837,145002904,1.62E+11
2017/7/28,3703.4895,3725.5378,3696.7776,3721.8914,3712.1947,0.2612,111411392,1.26E+11
2017/7/31,3722.4282,3746.5207,3713.655,3737.8732,3721.8914,0.4294,148429039,1.61E+11
2017/8/1,3738.7364,3770.4043,3737.0954,3770.3828,3737.8732,0.8697,152546539,1.73E+11
2017/8/2,3768.1938,3784.3511,3759.2764,3760.8525,3770.3828,-0.2528,172293383,1.89E+11
2017/8/3,3755.1081,3766.3452,3718.4351,3727.8264,3760.8525,-0.8782,146153944,1.65E+11
2017/8/4,3724.7225,3738.7312,3707.003,3707.5796,3727.8264,-0.5431,157470060,1.68E+11
2017/8/7,3701.2161,3730.7774,3689.9552,3726.7948,3707.5796,0.5183,124231530,1.34E+11
